coin_id,coin_name,symbol,market_cap_rank,timestamp,date,price,market_cap,volume,daily_return,price_ma7,price_ma30,volatility_7d,cumulative_return,month
aave,Aave,AAVE,46,2024-12-04 00:00:00,2024-12-04,241.886714069212,3633153845.1457043,1181708218.5850096,,241.886714069212,241.886714069212,,,2024-12
aave,Aave,AAVE,46,2024-12-05 00:00:00,2024-12-05,255.96660995569954,3841768449.872117,1191179116.5987434,5.820863680201471,248.92666201245578,248.92666201245578,,5.820863680201471,2024-12
aave,Aave,AAVE,46,2024-12-06 00:00:00,2024-12-06,248.58940428672693,3725869512.68266,870666552.5107323,-2.8820968759360355,248.81424277054614,248.81424277054614,6.153922425643878,2.7710038739858556,2024-12
aave,Aave,AAVE,46,2024-12-07 00:00:00,2024-12-07,281.7551670990727,4226338783.2068686,1120551115.2888253,13.34158344661056,257.0494738526778,257.0494738526778,8.11901627307487,16.48228311475306,2024-12
aave,Aave,AAVE,46,2024-12-08 00:00:00,2024-12-08,282.3986182739254,4241226282.9279947,655334370.7444862,0.2283724488454375,262.11930273692735,262.11930273692735,7.120497593332435,16.74829655717329,2024-12
aave,Aave,AAVE,46,2024-12-09 00:00:00,2024-12-09,284.2814202652108,4267568385.1705766,520318484.52067304,0.6667178482647751,265.81298899164125,265.81298899164125,6.357757079146436,17.52667828786505,2024-12
aave,Aave,AAVE,46,2024-12-10 00:00:00,2024-12-10,259.1372751355423,3885719668.0567255,1037058897.5970988,-8.844807763451822,264.8593155836271,264.8593155836271,7.58086410009465,7.131669522532924,2024-12
aave,Aave,AAVE,46,2024-12-11 00:00:00,2024-12-11,273.27962731605135,4098458296.846163,1748928774.6511931,5.457475067263795,269.3440174760327,265.9118545501801,7.089185013665843,12.978353675868615,2024-12
aave,Aave,AAVE,46,2024-12-12 00:00:00,2024-12-12,301.16532812299596,4516741916.5364895,1137293465.850811,10.2040906162004,275.80097721421794,269.82890716938186,7.65689301037671,24.506767261645624,2024-12
aave,Aave,AAVE,46,2024-12-13 00:00:00,2024-12-13,367.6425225145976,5506006853.035069,3076495480.508101,22.07332258527859,292.8085655324852,279.61026870390344,10.100839819887351,51.989547639810695,2024-12
aave,Aave,AAVE,46,2024-12-14 00:00:00,2024-12-14,375.6032565868568,5629115505.744572,1844807710.208393,2.165346385344491,306.21543545931144,288.33690396599013,9.649882862655334,55.28064781573079,2024-12
aave,Aave,AAVE,46,2024-12-15 00:00:00,2024-12-15,365.9950536573531,5494882625.445182,1430305123.8429155,-2.5580723172675235,318.15778337122964,294.8084164402704,9.912454332363124,51.3084565498829,2024-12
aave,Aave,AAVE,46,2024-12-16 00:00:00,2024-12-16,372.24079742006006,5589671340.827469,1205882124.1524823,1.7065104296612343,330.7234086790653,300.76475343871573,9.858917709151168,53.8905511418661,2024-12
aave,Aave,AAVE,46,2024-12-17 00:00:00,2024-12-17,379.8970964698974,5711408029.919076,1954537556.635428,2.056813520415246,347.9748117268303,306.4170636552287,8.145899221402933,57.05579280439355,2024-12
aave,Aave,AAVE,46,2024-12-18 00:00:00,2024-12-18,361.46771441484816,5431283639.873028,1056888818.7028599,-4.851151068618275,360.5731098838013,310.0871070392033,9.108342786184654,49.43677903343631,2024-12
aave,Aave,AAVE,46,2024-12-19 00:00:00,2024-12-19,340.705570515722,5125505934.889755,1488979081.5364015,-5.743844628762041,366.22171593990504,312.00076100648573,9.404196345569092,40.85336262752928,2024-12
aave,Aave,AAVE,46,2024-12-20 00:00:00,2024-12-20,316.7226713724451,4756195806.627423,1534194535.1065054,-7.039186094601934,358.9474514910261,312.2785204397775,3.9871965305923283,30.93843231167299,2024-12
aave,Aave,AAVE,46,2024-12-21 00:00:00,2024-12-21,329.2110316704384,4938338153.198128,1623099552.6596632,3.942995379483838,352.31999078868057,313.21921550814756,4.340467352494467,36.10132864769082,2024-12
aave,Aave,AAVE,46,2024-12-22 00:00:00,2024-12-22,298.0383621674716,4471058297.484491,955497969.6095216,-9.468901860546609,342.61189200441186,312.4202232270593,5.238920889364607,23.214027407140982,2024-12
aave,Aave,AAVE,46,2024-12-23 00:00:00,2024-12-23,316.80748245027866,4761271845.232105,865803380.5272326,6.297551813903901,334.69284700872873,312.6395861882203,6.108148673326203,30.973494625103438,2024-12
aave,Aave,AAVE,46,2024-12-24 00:00:00,2024-12-24,383.48797792661935,5744296180.427453,1695721237.581925,21.047639077402746,335.2058300739747,316.0133191281441,10.735012718720757,58.5403230608567,2024-12
aave,Aave,AAVE,46,2024-12-25 00:00:00,2024-12-25,376.21190543679495,5642986947.190571,1062472797.7571487,-1.8973404405435268,337.31214307710997,318.74961850581,10.54143249388322,55.53227339685471,2024-12
aave,Aave,AAVE,46,2024-12-26 00:00:00,2024-12-26,368.66488769438985,5536190227.942398,736404804.553588,-2.0060550007429345,341.3063312454911,320.9198476009657,10.231841656503937,52.41221044860793,2024-12
aave,Aave,AAVE,46,2024-12-27 00:00:00,2024-12-27,337.45878113800046,5068132097.113036,649550504.3271054,-8.464626710601786,344.2686326405705,321.60896983167544,10.443361041244467,39.51108577275646,2024-12
aave,Aave,AAVE,46,2024-12-28 00:00:00,2024-12-28,323.63537257638006,4865113979.493225,755046892.7949193,-4.096325043018345,343.4721099128479,321.6900259414636,10.552183948836257,33.79625822846024,2024-12
aave,Aave,AAVE,46,2024-12-29 00:00:00,2024-12-29,353.3013062420906,5309743917.776212,637623214.2710936,9.166468247752867,351.366816209222,322.9058444145646,10.044292081044151,46.06064975565349,2024-12
aave,Aave,AAVE,46,2024-12-30 00:00:00,2024-12-30,331.86861744374124,4983155003.2393465,496860480.88057595,-6.0664051957009075,353.5184069225738,323.2377989712008,10.419925176103476,37.20001891000202,2024-12
aave,Aave,AAVE,46,2024-12-31 00:00:00,2024-12-31,321.16687718799534,4824839359.32525,770173965.11995,-3.2246918488941123,344.6153925313418,323.1638374789435,5.597090686632725,32.77574108353001,2024-12
aave,Aave,AAVE,46,2025-01-01 00:00:00,2025-01-01,308.7878019627525,4645823055.628292,465650334.9975186,-3.854405950460682,334.9833777493358,322.66811211631625,5.618392616565975,27.65802501843815,2025-01
aave,Aave,AAVE,46,2025-01-02 00:00:00,2025-01-02,318.8993758921664,4795377138.737413,553148484.7803742,3.2746027741839434,327.87401892044664,322.54248757551125,6.056603463410397,31.838318247160345,2025-01
aave,Aave,AAVE,46,2025-01-03 00:00:00,2025-01-03,332.984050442213,5009168378.211197,713892738.5581696,4.416651650898573,327.23477167819135,325.5790654546112,5.672582189420468,37.66115750654046,2025-01
aave,Aave,AAVE,46,2025-01-04 00:00:00,2025-01-04,349.97902302526563,5263382595.6525345,679470718.195365,5.103839826707257,330.9981503137464,328.71281255693015,5.645886981216188,44.687162489265475,2025-01
aave,Aave,AAVE,46,2025-01-05 00:00:00,2025-01-05,351.78475068658304,5293475787.4825115,618403939.882489,0.5159531121918359,330.78149952010244,332.1526574369253,4.445928164873355,45.433680407070895,2025-01
aave,Aave,AAVE,46,2025-01-06 00:00:00,2025-01-06,342.239498543841,5151180158.16498,441747445.70234793,-2.713378599871774,332.26305396297386,334.16880181841765,3.816501663147019,41.48751404589952,2025-01
aave,Aave,AAVE,46,2025-01-07 00:00:00,2025-01-07,340.70175058283223,5123039443.606276,608047841.0515792,-0.44931925378326465,335.0537501622362,336.1122395620478,3.495398797608214,40.85178340359199,2025-01
aave,Aave,AAVE,46,2025-01-08 00:00:00,2025-01-08,307.2304478382389,4621363572.4185295,520622372.7332363,-9.824223881249395,334.8312710015915,336.87720714781545,5.1738106782842515,27.014188861290634,2025-01
aave,Aave,AAVE,46,2025-01-09 00:00:00,2025-01-09,293.9515359204169,4428640395.721323,672298353.0514584,-4.322134089005891,331.2672938627701,338.0376825073112,5.180522663468933,21.52446530664247,2025-01
aave,Aave,AAVE,46,2025-01-10 00:00:00,2025-01-10,281.3058500249232,4226024720.8305044,590493716.462093,-4.301962857890073,323.8846938031573,338.30522326427365,4.67353316581057,16.296527945901197,2025-01
aave,Aave,AAVE,46,2025-01-11 00:00:00,2025-01-11,286.5185604216207,4310970981.307148,593578840.6525137,1.8530401682850473,314.818913431208,337.8169976742278,3.9173488119746613,18.45154932305959,2025-01
aave,Aave,AAVE,46,2025-01-12 00:00:00,2025-01-12,287.50318827602695,4329256264.564093,282843031.8964476,0.3436523808291403,305.63583308684287,335.14568653294214,3.8938865998036882,18.858610892437277,2025-01
aave,Aave,AAVE,46,2025-01-13 00:00:00,2025-01-13,288.5526581789055,4341721922.285293,298131222.26861185,0.3650289616513813,297.96628446328066,332.24399991934376,4.071586804359773,19.292479245611194,2025-01
aave,Aave,AAVE,46,2025-01-14 00:00:00,2025-01-14,289.88522277664356,4350438979.972924,711489838.2590922,0.46180984994144136,290.70678049096796,329.7070055566535,4.155564747869758,19.843383665006776,2025-01
aave,Aave,AAVE,46,2025-01-15 00:00:00,2025-01-15,295.7984841828583,4452716023.358019,488702930.26208174,2.039863001492459,289.0736428259136,327.1589284487467,2.69059810259439,22.288024508125904,2025-01
aave,Aave,AAVE,46,2025-01-16 00:00:00,2025-01-16,320.22512047665714,4818720259.954066,626454741.1487904,8.25786391748331,292.8270120482336,325.16986258230537,3.722398705175025,32.386403159385566,2025-01
aave,Aave,AAVE,46,2025-01-17 00:00:00,2025-01-17,311.16255156941514,4681724501.199228,475039574.51967615,-2.830061830799624,297.0922551260182,323.49302382079094,3.379777517251621,28.6397860944033,2025-01
aave,Aave,AAVE,46,2025-01-18 00:00:00,2025-01-18,335.61903645450815,5049949340.904944,531436442.0203781,7.859713439725136,304.1066088450021,323.32347268541713,4.157713699866867,38.750504650898776,2025-01
aave,Aave,AAVE,46,2025-01-19 00:00:00,2025-01-19,316.65140786641723,4767144791.296535,561588721.9112415,-5.651535380253048,308.2706402150579,323.3210972352162,5.142405769588677,30.90897079027357,2025-01
aave,Aave,AAVE,46,2025-01-20 00:00:00,2025-01-20,310.1340295213099,4692685657.983049,1093712122.666282,-2.0582186540780367,311.3536932639728,322.6851971635786,5.3103949103981325,28.2145779336066,2025-01
aave,Aave,AAVE,46,2025-01-21 00:00:00,2025-01-21,336.52072649112796,5085789212.967118,1803858045.9271405,8.508159201538046,318.0159080803277,323.9679426410338,5.965929545866603,39.12327834377791,2025-01
aave,Aave,AAVE,46,2025-01-22 00:00:00,2025-01-22,370.5401626293424,5576574247.265011,1572138450.2724242,10.109165189595327,328.69329071553966,325.7590319803359,6.647153386058945,53.18748036873091,2025-01
aave,Aave,AAVE,46,2025-01-23 00:00:00,2025-01-23,346.3032810044744,5217632886.206684,631870954.8440236,-6.540959407175661,332.4187422195136,324.51954208293114,7.196246520004829,43.16754946093704,2025-01
aave,Aave,AAVE,46,2025-01-24 00:00:00,2025-01-24,337.5390313150325,5074205877.993566,695968671.3987012,-2.5308018058681547,336.1868107546018,323.23044627887236,7.168162136811725,39.54426253376246,2025-01
aave,Aave,AAVE,46,2025-01-25 00:00:00,2025-01-25,334.6509955247877,5036227711.686465,670597496.5612646,-0.855615357724171,336.0485191932131,322.09664987321895,6.5896894354402065,38.35030039270067,2025-01
aave,Aave,AAVE,46,2025-01-26 00:00:00,2025-01-26,326.39548526685303,4915108413.719693,352585290.13952744,-2.4669014490719343,337.4405302504183,321.7278733441807,6.222929053323987,34.93733482751775,2025-01
aave,Aave,AAVE,46,2025-01-27 00:00:00,2025-01-27,317.16732741316065,4772999033.646569,342521472.9034225,-2.8272933512385023,338.44528709211124,321.51227183874005,6.284068005141427,31.122260531600897,2025-01
aave,Aave,AAVE,46,2025-01-28 00:00:00,2025-01-28,303.56741677420064,4563797451.258419,730683073.9979545,-4.287929261151158,333.7376714182645,319.8544755231438,5.353475132376245,25.499830754383535,2025-01
aave,Aave,AAVE,46,2025-01-29 00:00:00,2025-01-29,284.24620530546895,4274776294.2729845,485699878.5956386,-6.3647184780385,321.4099632291397,318.26706178520124,2.1313938368821748,17.512119836452243,2025-01
aave,Aave,AAVE,46,2025-01-30 00:00:00,2025-01-30,291.4031374092153,4389157933.131381,544767160.0527687,2.5178637287541106,313.56708557267405,317.27493712590865,2.770616891149362,20.47091487870434,2025-01
aave,Aave,AAVE,46,2025-01-31 00:00:00,2025-01-31,315.77332563050237,4766578096.240385,511661860.4611462,8.363049361086405,310.4576990463127,317.5077879148336,4.915591474684321,30.545956955762765,2025-01
